"planet","name","gm","radius","density","magnitude","albedo","Distance (10^6km)","Distance (m)","Velocity (m/s)","Velocity (km/s)"
"Uranus","Trinculo","0.00031",9,"1.5","25.4R","0.04",0.285,2.85e+08,1.04293782089136e-06,1.04293782089136e-09
"Uranus","Francisco","0.00056",11,"1.5","25.0R","0.04",0.29,2.9e+08,1.3896166675593e-06,1.3896166675593e-09
"Uranus","Margaret","0.00042",10,"1.5","25.2R","0.04",0.308,3.08e+08,1.16774841624228e-06,1.16774841624228e-09
"Uranus","Ferdinand","0.00042",10,"1.5","25.1R","0.04",0.337,3.37e+08,1.11637395221626e-06,1.11637395221626e-09
"Uranus","Perdita","0.0012",13,"1.3","23.6V","0.070±0.006",0.371,3.71e+08,1.79847194799054e-06,1.79847194799054e-09
"Uranus","Mab","0.0006",12,"1.3","24.6V","0.103±0.006",0.076,7.6e+07,2.80975743474508e-06,2.80975743474508e-09
"Uranus","Cupid","0.0002",9,"1.3","25.8V","0.070±0.006",0.09,9e+07,1.49071198499986e-06,1.49071198499986e-09
"Neptune","Triton","1427.6±1.9",1353.4,"2.059±0.005","13.54","0.719",0.354,3.54e+08,0.00200817538118112,2.00817538118112e-06
"Neptune","Nereid","2.06",170,"1.5","19.2R","0.155",5.513,5.513e+09,1.93303453889703e-05,1.93303453889703e-08
"Neptune","Naiad","0.013",33,"1.3","23.91","0.072",0.03,3e+07,2.08166599946613e-05,2.08166599946613e-08
"Neptune","Thalassa","0.025",41,"1.3","23.32","0.091",0.05,5e+07,2.23606797749979e-05,2.23606797749979e-08
"Neptune","Despina","0.14",75,"1.3","22.00","0.090",0.06,6e+07,4.83045891539648e-05,4.83045891539648e-08
"Neptune","Galatea","0.25",88,"1.3","21.85","0.079",0.07,7e+07,5.97614304667197e-05,5.97614304667197e-08
"Neptune","Larissa","0.33",97,"1.3","21.49","0.091",0.085,8.5e+07,6.23085302440723e-05,6.23085302440723e-08
"Neptune","Proteus","3.36",210,"1.3","19.75","0.096",0.118,1.18e+08,0.000168744114774965,1.68744114774965e-07
"Neptune","Halimede","0.012",31,"1.5","24.5R","0.04",5.331,5.331e+09,1.50032823270528e-06,1.50032823270528e-09
"Neptune","Psamathe","0.0033",20,"1.5","25.5R","0.04",5.828,5.828e+09,7.52483875925456e-07,7.52483875925456e-10
"Neptune","Sao","0.0045",22,"1.5","25.5R","0.04",23.54,2.354e+10,4.37223027996817e-07,4.37223027996817e-10
"Neptune","Laomedeia","0.0039",21,"1.5","25.5R","0.04",23.56,2.356e+10,4.06859686813304e-07,4.06859686813304e-10
"Neptune","Neso","0.011",30,"1.5","24.6R","0.04",48.17,4.817e+10,4.77868077095895e-07,4.77868077095895e-10
"Neptune","S/2004 N1","0.0003",9,"1.3","26.5V","0.10",0.105,1.05e+08,1.69030850945703e-06,1.69030850945703e-09
